,Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
0,Mitsubishi,2003.0,Pajero,SUV,2003 Mitsubishi Pajero Exceed LWB (4X4),USED,Automatic,"4 cyl, 3.2 L",4WD,Diesel,0 L / 100 km,343128,Silver / Cream Leather,"Stanthorpe, QLD",4 cyl,SUV, 4 Doors, 7 Seats,9990
1,Honda,2017.0,CR-V,SUV,2017 Honda CR-V VTI-LX (awd),USED,Automatic,"4 cyl, 1.5 L",AWD,Unleaded,7.4 L / 100 km,130813,Blue / Black,"Ravenhall, VIC",4 cyl,SUV, 4 Doors, 5 Seats,34990
2,Honda,2014.0,Fit,USED Dealer ad,2014 Honda Fit,USED,-,-,Other,Other,-,44248,Black / Black,"Minchinbury, NSW",-,Hatchback,,,18995
3,Toyota,2010.0,Hiace,Commercial,2010 Toyota Hiace LWB,USED,Automatic,"4 cyl, 3 L",Rear,Diesel,8 L / 100 km,147317,Silver / Grey,"Lidcombe, NSW",4 cyl,Commercial, 4 Doors, 3 Seats,25999
4,Mercedes-Benz,2015.0,CLA250,Sedan,2015 Mercedes-Benz CLA250 Sport 4Matic,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.6 L / 100 km,78403,Red / -,"Rozelle, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,34800
5,Volkswagen,2017.0,Transporter,Commercial,2017 Volkswagen Transporter TDI 400 SWB LOW,USED,Automatic,"4 cyl, 2 L",Front,Diesel,8.1 L / 100 km,273970,White / -,"Smithfield, NSW",4 cyl,Commercial, 2 Doors, 2 Seats,23500
6,Toyota,2012.0,Corolla,Hatchback,2012 Toyota Corolla Ascent Sport,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,7.3 L / 100 km,155657,Silver / Black,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,11995
7,Jeep,2015.0,Grand,SUV,2015 Jeep Grand Cherokee Limited (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,130100,Black / -,"Sunshine North, VIC",6 cyl,SUV, 4 Doors, 5 Seats,29888
8,Suzuki,2019.0,Baleno,Hatchback,2019 Suzuki Baleno GL,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,5.4 L / 100 km,36400,White / Black,"Geelong, VIC",4 cyl,Hatchback, 4 Doors, 5 Seats,21990
9,Toyota,2008.0,Crown,USED Dealer ad,2008 Toyota Crown,USED,Automatic,-,Other,-,-,109594,White / Black,"Dingley Village, VIC",-,,,,21999
10,Kia,2009.0,Grand,Wagon,2009 Kia Grand Carnival EXE,USED,Automatic,"6 cyl, 3.8 L",Front,Unleaded,12.8 L / 100 km,105213,White / -,"Moorabbin, VIC",6 cyl,Wagon, 4 Doors, 8 Seats,19990
11,Mitsubishi,2002.0,Delica,Custom Coaster Conversions,2002 Mitsubishi Delica,USED,Automatic,-,Other,Unleaded,-,174356,Grey / -,"Casino, NSW",-,Commercial, 8 Seats,,17990
12,Nissan,2007.0,Elgrand,Don Frost Car Sales,2007 Nissan Elgrand Highway Star,USED,Automatic,-,Other,Unleaded,-,109600,White / -,"Arundel, QLD",-,Wagon,,,17500
13,Toyota,2015.0,Camry,Sedan,2015 Toyota Camry Atara SX,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.8 L / 100 km,70759,Silver / Black,"North Narrabeen, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,24990
14,Ford,2011.0,Territory,SUV,2011 Ford Territory TS (rwd),USED,Automatic,"6 cyl, 2.7 L",Rear,Diesel,8.2 L / 100 km,174489,Blue / -,"Minchinbury, NSW",6 cyl,SUV, 4 Doors, 7 Seats,12995
15,Mazda,2007.0,6,Hatchback,2007 Mazda 6 Classic Sports,USED,Manual,"4 cyl, 2.3 L",Front,Premium,8.8 L / 100 km,102496,Black / Grey,"Leichhardt, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,7920
16,Land,2017.0,Rover,SUV,2017 Land Rover Range Rover Evoque TD4 150 SE,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.1 L / 100 km,163252,White / Cloth,"Phillip, ACT",4 cyl,SUV, 5 Doors, 5 Seats,32990
